id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,90879.0,1813481533942,1,1813481533942,45785239934.0,92203.0,89642.0,1237.19,1.38014,24182634405.0,1.35151,19959503.0,19959503.0,21000000.0,126080.0,-27.96344,2025-10-06T18:57:42.558Z,67.81,133840.35885,2013-07-06T00:00:00.000Z,,2025-12-08T23:02:13.139Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3130.98,377681213683,2,377681213683,25949225630.0,3171.62,3028.69,96.33,3.17443,11772140131.0,3.21723,120695341.958382,120695341.958382,,4946.05,-36.72117,2025-08-24T19:21:03.333Z,0.432979,722753.17253,2015-10-20T00:00:00.000Z,"{'times': 45.06884556504664, 'currency': 'btc', 'percentage': 4506.884556504663}",2025-12-08T23:02:13.684Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,185661216767,3,191128565607,76167399982.0,1.0,0.999896,-0.000152774651507981,-0.01527,-13585504.218902588,-0.00732,185647211175.3814,191114147578.8062,,1.32,-24.41271,2018-07-24T00:00:00.000Z,0.572521,74.68212,2015-03-02T00:00:00.000Z,,2025-12-08T23:02:17.302Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.08,125422852868,4,207859414069,2997267010.0,2.11,2.03,0.0478993,2.35787,2592822985.0,2.1109,60331635327.0,99985752852.0,100000000000.0,3.65,-42.97999,2025-07-18T03:40:53.808Z,0.00268621,77301.52741,2014-05-22T00:00:00.000Z,,2025-12-08T23:02:16.013Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,899.69,123926020726,5,123926020726,1500100097.0,911.32,888.39,10.37,1.16613,1378501710.0,1.12487,137735817.39,137735817.39,200000000.0,1369.99,-34.33982,2025-10-13T08:41:24.131Z,0.0398177,2259043.44225,2017-10-19T00:00:00.000Z,,2025-12-08T23:02:12.909Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999835,78243285598,6,78316217445,10709439059.0,0.999915,0.999696,0.00012513,0.01252,134150211.0,0.17175,78266600016.20726,78339553595.20139,,1.17,-14.74202,2019-05-08T00:40:28.300Z,0.877647,13.9212,2023-03-11T08:02:13.981Z,,2025-12-08T23:02:17.776Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,133.59,75049553357,7,82307763353,5210204203.0,138.98,130.96,2.33,1.77346,1280905073.0,1.73638,561461659.0713273,615761870.6555142,,293.31,-54.45431,2025-01-19T11:15:27.957Z,0.500801,26575.445,2020-05-11T19:35:23.449Z,,2025-12-08T23:02:16.304Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3130.31,27219816683,8,27219816683,31073432.0,3168.27,3031.8,94.68,3.11892,936428944.0,3.56282,8699712.664657807,8699712.664657807,,4932.89,-36.67339,2025-08-24T19:21:31.902Z,482.9,546.89556,2020-12-22T04:08:21.854Z,,2025-12-08T23:02:16.106Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.282671,26765271401,9,26765324705,529121916.0,0.287806,0.282739,-0.003675898820622525,-1.28372,-346008037.0448952,-1.27625,94681196504.49539,94681385064.37518,,0.431288,-34.45173,2024-12-04T00:10:40.323Z,0.00180434,15567.87931,2017-11-12T00:00:00.000Z,"{'times': 147.77395525572337, 'currency': 'usd', 'percentage': 14777.395525572338}",2025-12-08T23:02:17.227Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.143232,23145587193,10,23148119393,1137197858.0,0.144268,0.137724,0.00539818,3.91645,860241990.0,3.86012,161604132798.579,161621812798.579,,0.731578,-80.42502,2021-05-08T05:08:23.458Z,8.69e-05,164687.1765,2015-05-06T00:00:00.000Z,,2025-12-08T23:02:11.470Z
